Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
184,"Z Bai, X Bai","Sports big data: management, analysis, applications, and challenges",2021,"Complexity","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1155/2021/6676297","https://scholar.google.com/scholar?cites=7761072531514315261&as_sdt=2005&sciodt=2007&hl=en",144,"2026-07-07 10:25:49","","10.1155/2021/6676297","",,,,,,184,36.80,92,2,5,"… of athletes; (3) from social network analysis to knowledge graph analysis; (4) from explicit … as predicting the athletes’ performance in the knowledge graph, finding a rising star of sports…","https://onlinelibrary.wiley.com/doi/pdf/10.1155/2021/6676297","https://scholar.google.com/scholar?q=related:_dHz9FjetGsJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
8,"RB Correia, JC Rozum, L Cross, J Felag…","myAURA: a personalized health library for epilepsy management via knowledge graph sparsification and visualization",2026,"Journal of the …","academic.oup.com","https://academic.oup.com/jamia/article-abstract/33/1/167/7994402","https://scholar.google.com/scholar?cites=11174592718264185955&as_sdt=2005&sciodt=2007&hl=en",145,"2026-07-07 10:25:49","","","",,,,,,8,8.00,2,5,1,"… We use a patient-centered biomedical dictionary to link the collected data in a multilayer knowledge graph (KG) computed with a generalizable, open-source methodology. …","https://academic.oup.com/jamia/article-pdf/33/1/167/61722452/ocaf012.pdf","https://scholar.google.com/scholar?q=related:Y7TNKd8gFJsJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
4,"D Gohourou, K Kuwabara","Knowledge Graph Extraction of Business Interactions from News Text for Business Networking Analysis",2024,"Machine Learning and Knowledge Extraction","mdpi.com","https://www.mdpi.com/2504-4990/6/1/7","https://scholar.google.com/scholar?cites=16093798084922932099&as_sdt=2005&sciodt=2007&hl=en",146,"2026-07-07 10:25:49","HTML","","",,,,,,4,2.00,2,2,2,"… areas ranging from molecular biology to social network analysis. The ubiquity of graph data … Additionally, question-answering benefits from the knowledge graph representations of data …","https://www.mdpi.com/2504-4990/6/1/7","https://scholar.google.com/scholar?q=related:g3ux8haoWN8J:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
28,"W Ma, M Li, J Dai, J Ding, Z Chu, H Chen","Nutrition-related knowledge graph neural network for food recommendation",2024,"Foods","mdpi.com","https://www.mdpi.com/2304-8158/13/13/2144","https://scholar.google.com/scholar?cites=13387540965148629921&as_sdt=2005&sciodt=2007&hl=en",147,"2026-07-07 10:25:49","HTML","","",,,,,,28,14.00,5,6,2,"… The development of GNNs has wide applications in fields such as recommendation systems, bioinformatics [36], and social network analysis [37]. The update rules used in our research …","https://www.mdpi.com/2304-8158/13/13/2144","https://scholar.google.com/scholar?q=related:oZus25MZyrkJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
29,"H Pan, X Yang","RETRACTED ARTICLE: Intelligent recommendation method integrating knowledge graph and Bayesian network",2023,"Soft Computing","Springer","https://link.springer.com/article/10.1007/s00500-021-05735-z","https://scholar.google.com/scholar?cites=394860390133413023&as_sdt=2005&sciodt=2007&hl=en",148,"2026-07-07 10:25:49","","10.1007/s00500-021-05735-z","",,,,,,29,9.67,15,2,3,"… This paper studies the fusion of knowledge graph and Bayesian belief network and its application in … In this paper, based on the knowledge graph, the EPCA algorithm and the robust …","","https://scholar.google.com/scholar?q=related:nzTGyW7TegUJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
211,"EE Kosasih, F Margaroli, S Gelli, A Aziz…","Towards knowledge graph reasoning for supply chain risk management using graph neural networks",2024,"… Journal of Production …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/00207543.2022.2100841","https://scholar.google.com/scholar?cites=7852947065607639016&as_sdt=2005&sciodt=2007&hl=en",149,"2026-07-07 10:25:49","","10.1080/00207543.2022.2100841","",,,,,,211,105.50,42,5,2,"… Link Prediction is used in many domains such as social network analysis, recommendation system or e-commerce. Main types of link prediction algorithms are discussed below. …","https://www.tandfonline.com/doi/pdf/10.1080/00207543.2022.2100841","https://scholar.google.com/scholar?q=related:6E993b9F-2wJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
10,"TA Munna, R Delhibabu","Cross-domain co-author recommendation based on knowledge graph clustering",2021,"Asian Conference on Intelligent Information and …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-73280-6_62","https://scholar.google.com/scholar?cites=1357153163546653522&as_sdt=2005&sciodt=2007&hl=en",150,"2026-07-07 10:25:49","","10.1007/978-3-030-73280-6_62","",,,,,,10,2.00,5,2,5,"… Social network analysis convenes to interpreting communication between people. Here, researchers have extensively studied different types of social network and their properties [5, 10]…","https://www.academia.edu/download/80817142/Cross_Domain_Co_Author_Recommendation_Based_on_Knowledge_Graph_Clustering.pdf","https://scholar.google.com/scholar?q=related:UvP-mpyT1RIJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
0,"A Alekseeva, CH Lee","Integrated Network Analysis: Analyzing Hubs and Non-hubs Using Multi-modal Data",2024,"대한산업공학회 추계학술대회 논문집","dbpia.co.kr","https://www.dbpia.co.kr/Journal/articleDetail?nodeId=NODE11964541","",151,"2026-07-07 10:25:49","CITATION","","",,,,,,0,0.00,0,2,2,"… To observe textural characteristics in the knowledge graph, we extract hubs and non-hubs. … Lee and Lee [11] analyzed immigrant networks by integrating the social network analysis and …","","https://scholar.google.com/scholar?q=related:IQpRhFGQuwgJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
72,"Z Leng, H Sun, J Cheng, H Wang, Z Yao","China's rare earth industry technological innovation structure and driving factors: a social network analysis based on patents",2021,"Resources Policy","Elsevier","https://www.sciencedirect.com/science/article/pii/S0301420721002440","https://scholar.google.com/scholar?cites=1854410352331173245&as_sdt=2005&sciodt=2007&hl=en",152,"2026-07-07 10:25:49","","","",,,,,,72,14.40,14,5,5,"Based on patent information, the paper analyzes the technological comparative advantages from the perspective of industrial chain, and adopts the Social Network Analysis (SNA) …","","https://scholar.google.com/scholar?q=related:fa2B7mMwvBkJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
0,"X Shen, L Lin, Y Wang, S Ou","Semantic Organization and Analysis of Ancient Chinese Poets' Biographies: A Multi‐Dimensional Perspective",2025,"Proceedings of the Association …","Wiley Online Library","https://asistdl.onlinelibrary.wiley.com/doi/abs/10.1002/pra2.1503","",153,"2026-07-07 10:25:49","","10.1002/pra2.1503","",,,,,,0,0.00,0,4,1,"… We construct a semantic knowledge graph and apply GIS, social network analysis, and sentiment analysis techniques to generate multi-dimensional portraits of poets such as Li Bai and …","https://asistdl.onlinelibrary.wiley.com/doi/pdf/10.1002/pra2.1503","https://scholar.google.com/scholar?q=related:un4P_NIksb8J:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
100,"J Chen, Y Liu, J Dai, C Wang","Development and status of moral education research: Visual analysis based on knowledge graph",2023,"Frontiers in psychology","frontiersin.org","https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2022.1079955/full","https://scholar.google.com/scholar?cites=16920622687671964527&as_sdt=2005&sciodt=2007&hl=en",154,"2026-07-07 10:25:49","HTML","10.3389/fpsyg.2022.1079955","",,,,,,100,33.33,25,4,3,"… In the keyword co-occurrence knowledge graph, the node sizes reflect the keyword frequency: larger nodes indicate that the keywords appeared more frequently. The node colors …","https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2022.1079955/full","https://scholar.google.com/scholar?q=related:b1MaZa8g0uoJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
0,"C Zhuansun, Y Liu, Q He, Q Yang, P Li…","Knowledge Graph-Driven Education Framework: A Case Study of Introduction to Computer Science Course",2025,"… on Computer Science …","Springer","https://link.springer.com/chapter/10.1007/978-981-95-7254-0_25","",155,"2026-07-07 10:25:49","","10.1007/978-981-95-7254-0_25","",,,,,,0,0.00,0,6,1,"… Knowledge Graph-Driven Learning (KGDL) framework is proposed, which integrates the knowledge graph … The proposed framework integrates a dynamic curriculum knowledge graph, …","","https://scholar.google.com/scholar?q=related:NXZNJy5aG8AJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
0,"W Qiu, SN Daud","Key topics detection and entity construction in large-scale chinese social network",2025,"AIP Conference Proceedings","pubs.aip.org","https://pubs.aip.org/aip/acp/article-abstract/3324/1/030021/3366400","",156,"2026-07-07 10:25:49","","","",,,,,,0,0.00,0,2,1,"… Additionally, this research is part of the effort in social knowledge graph construction. … media research based on LDA and social network analysis, revealing the differences between …","","https://scholar.google.com/scholar?q=related:WAQn4cBT5WIJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
8,"A Teo, Z Wang, H Pen, B Subagdja…","Knowledge graph enhanced aspect-based sentiment analysis incorporating external knowledge",2023,"… Conference on Data …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10411684/","https://scholar.google.com/scholar?cites=9117263590674980156&as_sdt=2005&sciodt=2007&hl=en",157,"2026-07-07 10:25:49","","","",,,,,,8,2.67,2,5,3,"… Typical applications of sentiment analysis include social network analysis [25], [26], finance [27], and healthcare [28]. The methodologies employed in sentiment analysis have evolved …","https://ink.library.smu.edu.sg/cgi/viewcontent.cgi?article=9411&context=sis_research","https://scholar.google.com/scholar?q=related:PN3ILe4Gh34J:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
0,"D Zhang, L Zhang, Y Luo","Design and Implementation of an Intelligent Question-Answering System Based on a Chinese Literature Knowledge Graph",2025,"2025 International Conference on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/11083030/","",158,"2026-07-07 10:25:49","","","",,,,,,0,0.00,0,3,1,"… Its application scenarios include social network analysis, … -dimensional knowledge graph visualization method to the visualization of the Dream of the Red Chamber knowledge graph, …","","https://scholar.google.com/scholar?q=related:XfB0MT2J8f8J:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
0,"Y Cheng","An Inductive Reviewer Recommendation Method Fusing Semantics and Knowledge Graph",2026,"2026 11th International Conference on Intelligent …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/11540726/","",159,"2026-07-07 10:25:49","","","",,,,,,0,0.00,0,1,1,"… With the proliferation of academic knowledge graphs, methods based on Social Network Analysis have gradually become mainstream[6]. These approaches typically construct …","","https://scholar.google.com/scholar?q=related:-Ir4CiCAcEoJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
0,"YY Chien, JA Wang","Data Integration and Knowledge Graph Visualization for the Dispersion of Financial Data: A Case Study in Taiwan",2025,"2025 10th International Conference on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/11211488/","",160,"2026-07-07 10:25:49","","","",,,,,,0,0.00,0,2,1,"… In addition, we utilizes Neo4j as the storage database for the knowledge graph to process and … for applications in biomedical, social network analysis, and industrial knowledge graphs. …","","https://scholar.google.com/scholar?q=related:57g3Nm_vTDUJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
0,"B Yin, Y Wang","Data Analysis of Hot Trends in Journalism and Communication Based on Knowledge Graph.",2025,"International Journal for Housing Science &Its …","housingscience.org","https://housingscience.org/2025/Issue%203/20253-771-IJHSA.pdf","",161,"2026-07-07 10:25:49","PDF","","",,,,,,0,0.00,0,2,1,"… Social network analysis is a method based on sociological theory. Its theoretical basis is to reflect various things in people’s daily life, focusing on the relevance between the two objects …","https://housingscience.org/2025/Issue%203/20253-771-IJHSA.pdf","https://scholar.google.com/scholar?q=related:GGhvkjaC7cQJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
44,"H Wang, S Xu, D Cui, H Xu, H Luo","Information integration of regulation texts and tables for automated construction safety knowledge mapping",2024,"Journal of Construction …","ascelibrary.org","https://ascelibrary.org/doi/abs/10.1061/JCEMD4.COENG-14436","https://scholar.google.com/scholar?cites=13982286236336025184&as_sdt=2005&sciodt=2007&hl=en",162,"2026-07-07 10:25:49","","10.1061/JCEMD4.COENG-14436","",,,,,,44,22.00,9,5,2,"… social network analysis (SNA) were applied to evaluate and verify the quality of the constructed knowledge graph. … The construction safety knowledge graph constructed in this research …","","https://scholar.google.com/scholar?q=related:YG6kKEAPC8IJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
13,"H Hu, M Yin","Evolution of business intelligence: an analysis from the perspective of social network",2022,"Tehnički vjesnik","hrcak.srce.hr","https://hrcak.srce.hr/clanak/395136","https://scholar.google.com/scholar?cites=17303864466102032307&as_sdt=2005&sciodt=2007&hl=en",163,"2026-07-07 10:25:49","","","",,,,,,13,3.25,7,2,4,"… , this paper makes a visual analysis of the knowledge graph of the related literature of Business … Social Network analysis is a method developed by sociologists based on mathematical …","https://hrcak.srce.hr/file/395136","https://scholar.google.com/scholar?q=related:sxeEVw2tI_AJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
0,"R Hao, Y Sun","Intelligent audit decision support for enterprise related-party transactions based on knowledge graph and graph neural network",2026,"Scientific Reports","nature.com","https://www.nature.com/articles/s41598-026-52652-y","",164,"2026-07-07 10:25:49","","","",,,,,,0,0.00,0,2,1,"ARTICLE IN PRESS Page 1 ARTICLE IN PRESS Article in Press Intelligent audit decision support for enterprise related-party transactions based on knowledge graph and graph neural …","https://www.nature.com/articles/s41598-026-52652-y_reference.pdf","https://scholar.google.com/scholar?q=related:aJGO1d0gBEkJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
0,"H Cenyu, W Yuhang, Y Yueyue…","Research on application system of electromechanical control knowledge graph construction based on semantic analysis",2025,"2025 IEEE 5th …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/11084020/","",165,"2026-07-07 10:25:49","","","",,,,,,0,0.00,0,4,1,"… It is widely used in knowledge graph construction, recommendation systems, social network analysis and other fields. In graph structure data, nodes represent entities, edges represent …","","https://scholar.google.com/scholar?q=related:4Y6Mfd4ftdwJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
67,"FK Kaiser, U Dardik, A Elitzur…","Attack hypotheses generation based on threat intelligence knowledge graph",2023,"… on Dependable and …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10005832/","https://scholar.google.com/scholar?cites=14007260128577149519&as_sdt=2005&sciodt=2007&hl=en",166,"2026-07-07 10:25:49","","","",,,,,,67,22.33,17,4,3,"… We also present the Attack Hypothesis Generator which relies on knowledge graph traversal algorithms and a variety of link prediction methods to automatically infer ATT&CK …","","https://scholar.google.com/scholar?q=related:T1pVkN_IY8IJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
1,"X Ma, T Xu, F Wang, A Xu…","Research on the Construction of Curriculum Knowledge Graph Based on GMM",2022,"CIBDA 2022; 3rd …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9899033/","https://scholar.google.com/scholar?cites=12724112172783073652&as_sdt=2005&sciodt=2007&hl=en",167,"2026-07-07 10:25:49","","","",,,,,,1,0.25,0,5,4,"… , Knowledge Graph has become a research hotspot. Guo used an artificial model to construct a Knowledge Graph … and social network analysis to construct a Knowledge Graph of course …","","https://scholar.google.com/scholar?q=related:dHn1HJsglbAJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
0,"C Chang","Graph neural network-driven knowledge graph construction and application for Chinese instruction in higher vocational education",2025,"Seventh International Conference on Image, Video …","spiedigitallibrary.org","https://www.spiedigitallibrary.org/conference-proceedings-of-spie/13731/1373117/Graph-neural-network-driven-knowledge-graph-construction-and-application-for/10.1117/12.3076218.short","",168,"2026-07-07 10:25:49","","10.1117/12.3076218.short","",,,,,,0,0.00,0,1,1,"… As a structured knowledge representation method, Knowledge Graph (KG) can intuitively … ) has made remarkable achievements in social network analysis, recommendation system and …","","https://scholar.google.com/scholar?q=related:uvfh8dQGNZ0J:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
0,"J Chen, J Li","Knowledge graph and semantic representation enhancement for collaborative knowledge building",2026,"International Journal of Data Science and Analytics","Springer","https://link.springer.com/article/10.1007/s41060-026-01043-7","",169,"2026-07-07 10:25:49","","10.1007/s41060-026-01043-7","",,,,,,0,0.00,0,2,1,"… Some used qualitative content analysis to examine discourse quality and patterns [13, 14] or critical thinking [15], some used social network analysis to visualize the quantitative …","","https://scholar.google.com/scholar?q=related:xrpPFhYcd7sJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
0,"D Zhu, H Yu","Entity Relationship Extraction Based on Knowledge Graph Knowledge",2021,"The Asia Pacific Computer Systems Conference","Springer","https://link.springer.com/chapter/10.1007/978-981-19-7904-0_7","",170,"2026-07-07 10:25:49","","10.1007/978-981-19-7904-0_7","",,,,,,0,0.00,0,2,5,"… and social network analysis. In the process of fusion, there are some problems in the knowledge graph drawing method, which will be developed in the following aspects in the future. …","","https://scholar.google.com/scholar?q=related:E-9UwSoA198J:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
44,"E Fotopoulou, I Mandilara, A Zafeiropoulos…","SustainGraph: A knowledge graph for tracking the progress and the interlinking among the sustainable development goals' targets",2022,"Frontiers in …","frontiersin.org","https://www.frontiersin.org/journals/environmental-science/articles/10.3389/fenvs.2022.1003599/full","https://scholar.google.com/scholar?cites=4091853710964948375&as_sdt=2005&sciodt=2007&hl=en",171,"2026-07-07 10:25:49","HTML","10.3389/fenvs.2022.1003599","",,,,,,44,11.00,11,4,4,"… In the current work, we present the SustainGraph, as a Knowledge Graph that is developed … For instance, social network analysis and network maps can be used to analyze the system …","https://www.frontiersin.org/journals/environmental-science/articles/10.3389/fenvs.2022.1003599/full","https://scholar.google.com/scholar?q=related:l_3tQkUvyTgJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
0,"J Wang, T Duan, S Yao, Y Wang","Construction and Application of a Multimodal Knowledge Graph for Social Media Opinion Analysis Based on Large Language Models",2025,"2025 5th International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/11182762/","",172,"2026-07-07 10:25:49","","","",,,,,,0,0.00,0,4,1,"… Meanwhile, knowledge graph technologies provide … This paper introduces a multimodal knowledge graph … to build an evolving public opinion knowledge graph. A cross-modal …","","https://scholar.google.com/scholar?q=related:lw8DsG5oeS0J:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
4,"O Baumann, D Nandini, A Rossanez…","How to surprisingly consider recommendations? a knowledge-graph-based approach relying on complex network metrics",2024,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2405.08465","https://scholar.google.com/scholar?cites=5650851674542991206&as_sdt=2005&sciodt=2007&hl=en",173,"2026-07-07 10:25:49","","","",,,,,,4,2.00,1,4,2,"… We propose a Knowledge Graph (KG) based recommender system by encoding user interactions on … Such metrics adhere to standard metrics in the field of social network analysis [25]. …","https://arxiv.org/pdf/2405.08465?","https://scholar.google.com/scholar?q=related:ZmeOk6jba04J:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
1,"BC Molokwu","Social network analysis: A machine learning approach",2021,"","search.proquest.com","https://search.proquest.com/openview/2531a4387826e31c99b59ce078f3fce1/1?pq-origsite=gscholar&cbl=18750&diss=y","https://scholar.google.com/scholar?cites=10518062239240606025&as_sdt=2005&sciodt=2007&hl=en",174,"2026-07-07 10:25:49","","","",,,,,,1,0.20,1,1,5,"Social Network Analysis (SNA) is an appealing research topic, within the domain of Artificial Intelligence (AI), owing to its widespread application in the real world. In this dissertation, we …","https://uwindsor.scholaris.ca/bitstreams/fe500668-85a7-405a-8778-ef7082f98a63/download","https://scholar.google.com/scholar?q=related:SdFiJ-Gp95EJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
0,"H Jia, J Xu, W Tian","Analysis of Causal Factors in Civilian Drone Accidents Based on Knowledge Graph",2025,"2025 International Conference on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/11454808/","",175,"2026-07-07 10:25:49","","","",,,,,,0,0.00,0,3,1,"… a co-occurrence network using social network analysis. Centrality and core-periphery structure … Knowledge graph technology provides a new path to solve these challenges by enabling …","","https://scholar.google.com/scholar?q=related:8ZdJJMywcHEJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
9,"W Yang, H Ning","Knowledge graph technology application in Chinese SSCI: an example of short videos research",2023,"Journal of Librarianship and Information …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/09610006211063201","https://scholar.google.com/scholar?cites=5426876840070051180&as_sdt=2005&sciodt=2007&hl=en",176,"2026-07-07 10:25:49","","10.1177/09610006211063201","",,,,,,9,3.00,5,2,3,"… Knowledge Graph seems to be a promising technology in this area. This technology makes it possible to modernize the information search infrastructure. The experiment involved 461 …","","https://scholar.google.com/scholar?q=related:bHUrtLsjUEsJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
40,"CB El Vaigh, N Garcia, B Renoust, C Chu…","GCNBoost: Artwork classification by label propagation through a knowledge graph",2021,"Proceedings of the …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3460426.3463636","https://scholar.google.com/scholar?cites=7020789467485336624&as_sdt=2005&sciodt=2007&hl=en",177,"2026-07-07 10:25:49","","10.1145/3460426.3463636","",,,,,,40,8.00,8,5,5,"… it in form of a knowledge graph. Such a knowledge graph, combined with content analysis, … of art with its information embedded in an extended knowledge graph (EKG) that we define …","https://dl.acm.org/doi/pdf/10.1145/3460426.3463636","https://scholar.google.com/scholar?q=related:MHRErNLabmEJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
0,"S Janzen, H Stein, S Baer","GRASPER: Leveraging Knowledge Graphs for Predictive Supply Chain Analytics",2024,"International Conference on Conceptual …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-75599-6_4","",178,"2026-07-07 10:25:49","","10.1007/978-3-031-75599-6_4","",,,,,,0,0.00,0,3,2,"… ) data into a semantically enriched knowledge graph in JSON-LD, incorporating … social network analysis to assess its performance in pinpointing critical nodes in the knowledge graph. …","","https://scholar.google.com/scholar?q=related:eEiFEeyAy1kJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
1,"B Abu-Salih, S Alotaibi, M Al-Okaily, M Aljaafari…","Credibility-based knowledge graph embedding for identifying social brand advocates",2024,"Frontiers in Big …","frontiersin.org","https://www.frontiersin.org/journals/big-data/articles/10.3389/fdata.2024.1469819/full","https://scholar.google.com/scholar?cites=13611214517569641908&as_sdt=2005&sciodt=2007&hl=en",179,"2026-07-07 10:25:49","HTML","10.3389/fdata.2024.1469819","",,,,,,1,0.50,0,5,2,"… the complex relationships between entities in a knowledge graph. This ability to understand … entities are important, such as social network analysis, recommendation systems, and …","https://www.frontiersin.org/journals/big-data/articles/10.3389/fdata.2024.1469819/full","https://scholar.google.com/scholar?q=related:tN1gCX2_5LwJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
4,"S Meng, X Zhang, N Liu, L Tu, Q Li","Knowledge&Social-based collaborative method with contrastive graph structure learning for explainable recommendation",2025,"Information Sciences","Elsevier","https://www.sciencedirect.com/science/article/pii/S0020025525002099","https://scholar.google.com/scholar?cites=17065746115001901225&as_sdt=2005&sciodt=2007&hl=en",180,"2026-07-07 10:25:49","","","",,,,,,4,4.00,1,5,1,"… Specifically, KSCGSL introduces a dual graph augmentation mechanism based on knowledge graph and semantic awareness for item embedding learning. For user modeling, it …","","https://scholar.google.com/scholar?q=related:qeCwY6y11ewJ:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
0,"A Akinnubi, M Alassad, N Agarwal…","Identifying Contextualized Focal",2024,"Complex Networks & …","books.google.com","https://books.google.com/books?hl=en&lr=&id=IWP8EAAAQBAJ&oi=fnd&pg=PA15&dq=%22social+network+analysis%22+%22knowledge+graph%22&ots=q3bSDPTdi3&sig=L2sLIuPAyGOV1Eijf6lPhihO6hw","",181,"2026-07-07 10:25:49","","","",,,,,,0,0.00,0,4,2,"… in establishing context for a social network analysis. … knowledge graph construction and contextual focal structures. In [17] and [8] the authors proposed a topic model knowledge graph …","","https://scholar.google.com/scholar?q=related:y6e1z1Bvd74J:scholar.google.com/&scioq=%22social+network+analysis%22+%22knowledge+graph%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2026"
